SEASON,GENRE_DESCR,EVENT_DESCR,Ticket Sales,Tickets Sold,Tickets Listed,Sell Thru Rate
2014,Michigan Wolverines Football Tickets,Miami (Ohio) Redhawks at Michigan Wolverines Football Tickets,13393,367,465,0.789247312
2014,Michigan Wolverines Football Tickets,Utah Utes at Michigan Wolverines Football Tickets,19426,442,559,0.790697674
2014,Michigan Wolverines Football Tickets,Indiana Hoosiers at Michigan Wolverines Football Tickets (Homecoming),2880,72,100,0.72
2014,Michigan Wolverines Football Tickets,Minnesota Golden Gophers at Michigan Wolverines Football Tickets,1398,38,46,0.826086957
2014,Michigan Wolverines Football Tickets,Penn State Nittany Lions at Michigan Wolverines Football Tickets,516,6,6,1
2014,Michigan Wolverines Football Tickets,Appalachian State Mountaineers at Michigan Wolverines Football Tickets,2880,72,74,0.972972973
