SEASON,GENRE_DESCR,EVENT_DESCR,Ticket Sales,Tickets Sold,Tickets Listed,Sell Thru Rate
"2,013",Georgia Tech Yellow Jackets Football Tickets,Georgia Bulldogs at Georgia Tech Yellow Jackets Football Tickets,"71,317",517,594,0.87037037
"2,013",Michigan State Spartans Football Tickets,Michigan Wolverines at Michigan State Spartans Football Tickets,"4,858",30,30,1
"2,013",Michigan Wolverines Football Tickets,Ohio State Buckeyes at Michigan Wolverines Football Tickets,95,1,7,0.142857143
"2,013",Michigan State Spartans Football Tickets,Western Michigan Broncos at Michigan State Spartans Football Tickets,"1,950",26,26,1
"2,013",Michigan Wolverines Football Tickets,Central Michigan Chippewas at Michigan Wolverines Football Tickets,600,8,8,1
"2,013",Michigan Wolverines Football Tickets,Nebraska Cornhuskers at Michigan Wolverines Football Tickets,"6,430",50,59,0.847457627
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
