SEASON,GENRE_DESCR,EVENT_DESCR,Ticket Sales,Tickets Sold,Tickets Listed,Sell Thru Rate
2014,Air Force Falcons Football Tickets,Nevada Wolf Pack at Air Force Falcons Football Tickets,549,58,85,0.682352941
2014,Air Force Falcons Football Tickets,New Mexico Lobos at Air Force Falcons Football Tickets,1202,123,123,1
2014,Air Force Falcons Football Tickets,Colorado State Rams at Air Force Falcons Football Tickets,16207,975,975,1
2014,Air Force Falcons Football Tickets,Navy Midshipmen at Air Force Falcons Football Tickets,8872,249,355,0.701408451
2014,Air Force Falcons Football Tickets,Boise State Broncos at Air Force Falcons Football Tickets,2039,176,232,0.75862069
